"satisfaction","income","job_income","parents_income","rent_space","rent_price","study_hours","work_hours","grade","siblings","course","TV_size","attitude_cannabis","use_cannabis","health","partner","gender","year","food_expenses"
7,NA,3500,8500,120,600,3,NA,1.70000004768372,2,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","No","Male",2016,200
8,600,900,NA,25,230,5,NA,2.20000004768372,1,"Introductory Econometrics",NA,"No, cannabis should not be legalized.","Yes, I used cannabis at least once.","Very good","Yes","Female",2016,200
4,1000,1500,7000,34,375,14,NA,2,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Poor","Yes","Male",2016,200
8,1000,2500,2500,30,361,10,NA,2.29999995231628,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Female",2016,150
7,1100,2000,5000,72,478,3,NA,2.79999995231628,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","No, I never used cannabis.","Good","Yes","Female",2016,200
6,500,1500,NA,30,167,5,NA,2.40000009536743,2,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","No, I never used cannabis.","Good","Yes","Male",2016,200
8,200,NA,NA,36,250,NA,NA,NA,1,"Introductory Econometrics",NA,"No, cannabis should not be legalized.","No, I never used cannabis.","Good","No","Female",2016,NA
5,NA,NA,NA,93,210,36,NA,NA,NA,"Statistics 1",NA,NA,"No, I never used cannabis.","Good","No","Female",2016,160
6,1000,3000,10000,29,216,45,NA,2.5,3,"Introductory Econometrics",NA,"No, cannabis should not be legalized.","Yes, I used cannabis at least once.","Good","Yes","Male",2016,200
6,1000,3000,10000,29,216,45,NA,2.5,3,"Introductory Econometrics",NA,"No, cannabis should not be legalized.","Yes, I used cannabis at least once.","Good","Yes","Male",2016,200
9,716,2000,NA,13,220,5,NA,1.29999995231628,0,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","No, I never used cannabis.","Good","Yes","Female",2016,150
9,550,2500,4000,NA,0,1,NA,1.70000004768372,4,"Statistics 1",NA,"No, cannabis should not be legalized.","Yes, I used cannabis at least once.","Very good","Yes","Female",2016,120
4,300,1800,NA,NA,100,1,NA,2.40000009536743,1,"Introductory Econometrics",NA,"Don't know.","Yes, I used cannabis at least once.","Good","Yes","Female",2016,40
8,500,3000,2800,55,230,20,NA,2.59999990463257,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Very good","No","Male",2016,100
9,0,3000,15000,30,190,10,NA,2.20000004768372,1,"Statistics 1",NA,"No, cannabis should not be legalized.","No, I never used cannabis.","Poor","No","Female",2016,150
9,0,1500,5000,35,280,10,NA,3,2,"Statistics 1",NA,"Don't know.","Prefer not to say.","Good","No","Female",2016,110
7,681,2500,3000,37,340,30,NA,2.09999990463257,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","No","Male",2016,170
6,NA,3500,NA,NA,220,2,NA,1.70000004768372,0,"Statistics 1",NA,"Don't know.","Prefer not to say.","Poor","No","Female",2016,150
9,650,NA,NA,23,247,4,NA,1.70000004768372,1,"Introductory Econometrics",NA,"Don't know.","No, I never used cannabis.","Good","No","Female",2016,100
9,800,2600,3500,42,320,4,NA,2.5,1,"Statistics 1",NA,"Yes, cannabis should be legalized.","No, I never used cannabis.","Very good","Yes","Female",2016,200
7,530,4000,8500,24,240,5,NA,1.10000002384186,1,"Statistics 1",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","No","Male",2016,120
5,1000,3000,18000,60,215,8,NA,2.40000009536743,1,"Introductory Econometrics",NA,"No, cannabis should not be legalized.","No, I never used cannabis.","Good","Yes","Female",2016,200
1,900,3000,2,25,222,5,NA,2.5,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Female",2016,100
8,360,1500,5000,63,410,30,NA,1.89999997615814,1,"Introductory Econometrics",NA,"No, cannabis should not be legalized.","No, I never used cannabis.","Very good","Yes","Female",2016,100
6,0,1000,NA,40,240,5,NA,2,3,"Both",NA,"No, cannabis should not be legalized.","No, I never used cannabis.","Poor","No","Female",2016,100
